PI,BLUP
PI_576359,34.38962836
PI_576366,37.20344149
PI_576373,35.85726042
PI_576375,28.16578133
PI_576376,28.82246734
PI_576380,30.70031146
PI_576381,25.22235423
PI_576387,32.42037471
PI_576390,28.66385941
PI_576393,30.84223891
PI_576394,30.38088246
PI_576396,34.60833707
PI_576401,38.53976453
PI_576422,33.06881556
PI_576425,36.03162807
PI_576428,34.06648812
PI_585291,29.16328996
PI_585295,28.36713553
PI_595702,35.47887739
PI_595718,31.73093513
PI_595720,29.72526204
PI_595739,30.87138003
PI_595740,25.46624978
PI_595741,28.71890087
PI_595743,26.93335264
PI_595744,37.70690886
PI_597945,28.71111392
PI_597946,33.58523381
PI_597949,29.26453642
PI_597950,32.16430368
PI_597952,30.77424652
PI_597957,29.24595461
PI_597958,27.90602893
PI_597964,32.31885005
PI_597965,31.43244894
PI_597966,30.83506672
PI_597968,33.58894301
PI_597971,34.59526319
PI_597972,31.56716322
PI_597973,39.97367038
PI_597976,37.42258273
PI_597982,31.15093011
PI_607931,26.62306307
PI_613536,30.81445179
PI_629059,31.74260122
PI_642791,28.29775008
PI_642793,27.74536786
PI_655974,28.16424132
PI_655975,29.86026321
PI_655976,34.93940551
PI_655977,28.41799663
PI_655979,27.83557356
PI_655992,34.33292485
PI_655993,33.21680864
PI_655997,29.90821444
PI_656000,25.99924619
PI_656002,25.68981729
PI_656003,31.44822776
PI_656004,28.51230072
PI_656005,33.21619388
PI_656006,30.5604332
PI_656007,29.75972955
PI_656008,31.583065
PI_656009,31.358186
PI_656010,28.33168441
PI_656011,27.28589667
PI_656014,42.64988206
PI_656016,28.19315862
PI_656018,33.08049598
PI_656019,30.7127296
PI_656020,35.61814089
PI_656024,31.49716261
PI_656026,27.52702581
PI_656027,30.52584273
PI_656030,31.47117878
PI_656031,28.29774969
PI_656033,30.60965493
PI_656034,38.13531431
PI_656036,47.40439041
PI_656037,30.34043129
PI_656039,33.61914819
PI_656044,26.29658483
PI_656046,29.8219432
PI_656048,29.37140652
PI_656051,28.34348779
PI_656053,29.00640336
PI_656055,32.66487763
PI_656056,28.5077515
PI_656058,26.12426901
PI_656059,24.63984919
PI_656060,30.98683033
PI_656061,25.57768517
PI_656062,30.63649943
PI_656068,27.1912647
PI_656069,32.81340351
PI_656070,38.45726382
PI_656071,37.24679085
PI_656075,29.22796022
PI_656076,33.61439405
PI_656077,34.96321719
PI_656079,32.51028613
PI_656081,39.77297192
PI_656082,34.01001222
PI_656085,38.2809918
PI_656086,29.01468212
PI_656087,32.60536892
PI_656089,34.80141251
PI_656093,36.36790148
PI_656094,34.29821144
PI_656096,27.71303151
PI_656097,29.20751166
PI_656100,27.19337914
PI_656102,39.16714701
PI_656104,39.160891
PI_656105,31.41101433
PI_656106,31.78115996
PI_656108,21.83888327
PI_656109,35.10645614
PI_656110,30.01956786
PI_656112,25.7572439
PI_656114,34.36829401
PI_656116,39.83469377
PI_656118,28.94103385
PI_656119,34.86567536
PI_656121,27.37782369
PI_659693,39.93362905
PI_659695,31.9119714
PI_659696,31.09875753
PI_659753,37.28520449
